,ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude,Location
122,12217651,JD427322,11/10/20 14:30,042XX S COTTAGE GROVE AVE,860,THEFT,RETAIL THEFT,SMALL RETAIL STORE,False,False,214,2,4,38,6,,,2020,11/17/20 15:49,,,
123,12217915,JD427654,11/10/20 17:00,018XX W BELMONT AVE,890,THEFT,FROM BUILDING,COMMERCIAL / BUSINESS OFFICE,False,False,1922,19,47,5,6,,,2020,11/17/20 15:49,,,
124,12217173,JD426735,11/10/20 2:45,048XX N SPRINGFIELD AVE,326,ROBBERY,AGGRAVATED VEHICULAR HIJACKING,STREET,False,False,1712,17,39,14,3,,,2020,11/17/20 15:49,,,
127,12218094,JD427752,11/10/20 21:15,074XX S STONY ISLAND AVE,910,MOTOR VEHICLE THEFT,AUTOMOBILE,GAS STATION,False,False,324,3,8,43,7,,,2020,11/17/20 15:49,,,
129,12222789,JD433224,11/1/20 0:00,015XX W 18TH ST,460,BATTERY,SIMPLE,SMALL RETAIL STORE,False,False,1233,12,25,31,08B,,,2020,11/17/20 15:49,,,
130,12218240,JD427227,11/10/20 13:40,065XX S CARPENTER ST,1310,CRIMINAL DAMAGE,TO PROPERTY,RESIDENCE,False,True,724,7,6,68,14,,,2020,11/17/20 15:49,,,
131,12217484,JD426789,11/10/20 6:45,010XX N LAWNDALE AVE,051A,ASSAULT,AGGRAVATED - HANDGUN,ALLEY,False,True,1112,11,27,23,04A,,,2020,11/17/20 15:49,,,
132,12217801,JD427546,11/10/20 13:00,049XX N MASON AVE,1110,DECEPTIVE PRACTICE,BOGUS CHECK,RESIDENCE,False,False,1622,16,45,11,11,,,2020,11/17/20 15:49,,,
133,12219958,JD429950,11/10/20 22:00,029XX N NEWLAND AVE,810,THEFT,OVER $500,STREET,False,False,2511,25,36,18,6,,,2020,11/17/20 15:49,,,
134,12222726,JD432975,11/1/20 12:00,004XX S MICHIGAN AVE,1156,DECEPTIVE PRACTICE,ATTEMPT - FINANCIAL IDENTITY THEFT,COLLEGE / UNIVERSITY - RESIDENCE HALL,False,False,113,1,42,32,11,,,2020,11/17/20 15:49,,,
135,12221263,JD430504,11/10/20 16:00,024XX W TAYLOR ST,820,THEFT,$500 AND UNDER,AUTO / BOAT / RV DEALERSHIP,False,True,1135,11,28,28,6,,,2020,11/17/20 15:49,,,
136,12217770,JD427480,11/10/20 16:28,082XX S RHODES AVE,560,ASSAULT,SIMPLE,SIDEWALK,True,False,631,6,6,44,08A,,,2020,11/17/20 15:49,,,
137,12219513,JD429424,11/10/20 20:00,026XX W 106TH ST,1154,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT $300 AND UNDER,RESIDENCE,False,False,2211,22,19,72,11,,,2020,11/17/20 15:49,,,
138,12217434,JD426846,11/10/20 8:01,013XX N KARLOV AVE,486,BATTERY,DOMESTIC BATTERY SIMPLE,STREET,False,True,2534,25,26,23,08B,,,2020,11/17/20 15:49,,,
139,12222439,JD432762,11/7/20 0:00,027XX N MARSHFIELD AVE,1153,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,RESIDENCE,False,False,1931,19,32,7,11,,,2020,11/17/20 15:49,,,
140,12222564,JD432920,11/10/20 13:00,044XX S KOMENSKY AVE,1154,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT $300 AND UNDER,RESIDENCE,False,False,815,8,14,57,11,,,2020,11/17/20 15:49,,,
141,12218216,JD427884,11/10/20 14:15,010XX N ST LOUIS AVE,1154,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT $300 AND UNDER,APARTMENT,False,False,1121,11,27,23,11,,,2020,11/17/20 15:49,,,
142,12217465,JD427099,11/10/20 8:00,040XX W MADISON ST,810,THEFT,OVER $500,STREET,False,False,1115,11,28,26,6,,,2020,11/17/20 15:49,,,
143,12218869,JD427778,11/10/20 22:31,001XX E 119TH ST,486,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,False,True,532,5,9,53,08B,,,2020,11/17/20 15:49,,,
144,12223166,JD433580,10/10/20 8:00,057XX S GREEN ST,1153,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,RESIDENCE,False,False,712,7,16,68,11,,,2020,11/17/20 15:49,,,
145,12217846,JD427460,11/10/20 16:20,008XX N ORLEANS ST,810,THEFT,OVER $500,SIDEWALK,False,False,1823,18,27,8,6,,,2020,11/17/20 15:49,,,
146,12219349,JD428622,11/10/20 23:00,085XX S PRAIRIE AVE,820,THEFT,$500 AND UNDER,RESIDENCE,False,False,632,6,6,44,6,,,2020,11/17/20 15:49,,,
147,12217901,JD427581,11/10/20 5:30,018XX S LAWNDALE AVE,560,ASSAULT,SIMPLE,APARTMENT,False,True,1014,10,24,29,08A,,,2020,11/17/20 15:49,,,
148,12217211,JD426755,11/10/20 4:20,117XX S LAFAYETTE AVE,496,BATTERY,AGGRAVATED DOMESTIC BATTERY - KNIFE / CUTTING INSTRUMENT,RESIDENCE,False,False,522,5,34,53,04B,,,2020,11/17/20 15:49,,,
149,12220089,JD430056,11/10/20 0:00,090XX S ASHLAND AVE,1152,DECEPTIVE PRACTICE,ILLEGAL USE CASH CARD,TAVERN / LIQUOR STORE,False,False,2221,22,21,73,11,,,2020,11/17/20 15:49,,,
150,12217608,JD427263,11/10/20 13:00,042XX S VINCENNES AVE,910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,False,False,214,2,4,38,7,,,2020,11/17/20 15:49,,,
153,12222653,JD415999,10/30/20 21:00,014XX W ALTGELD ST,810,THEFT,OVER $500,STREET,False,False,1932,19,2,7,6,,,2020,11/17/20 15:49,,,
