ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude,Location
12222445,JD432858,10/23/20 14:00,094XX S VERNON AVE,1154,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT $300 AND UNDER,APARTMENT,FALSE,FALSE,633,6,9,49,11,,,2020,11/17/20 15:49,,,
12218077,JD427773,11/10/20 22:15,037XX N TRIPP AVE,610,BURGLARY,FORCIBLE ENTRY,RESIDENCE - GARAGE,FALSE,FALSE,1731,17,45,16,5,,,2020,11/17/20 15:49,,,
12220469,JD429922,11/10/20 14:00,005XX W MELROSE ST,810,THEFT,OVER $500,APARTMENT,FALSE,FALSE,1925,19,44,6,6,,,2020,11/17/20 15:49,,,
12217776,JD427537,11/10/20 14:00,024XX W ESTES AVE,1154,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT $300 AND UNDER,APARTMENT,FALSE,FALSE,2411,24,50,2,11,,,2020,11/17/20 15:49,,,
12218199,JD427676,11/10/20 19:50,014XX E 57TH ST,031A,ROBBERY,ARMED - HANDGUN,STREET,FALSE,FALSE,235,2,5,41,3,,,2020,11/17/20 15:49,,,
12223242,JD433675,10/28/20 16:03,008XX W WELLINGTON AVE,1154,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT $300 AND UNDER,HOSPITAL BUILDING / GROUNDS,FALSE,FALSE,1933,19,44,6,11,,,2020,11/17/20 15:49,,,
12217931,JD427615,11/10/20 18:07,006XX N TROY ST,1310,CRIMINAL DAMAGE,TO PROPERTY,RESIDENCE,FALSE,FALSE,1221,12,27,23,14,,,2020,11/17/20 15:49,,,
12145278,JD321362,8/5/20 9:00,033XX W FILLMORE ST,2093,NARCOTICS,FOUND SUSPECT NARCOTICS,POLICE FACILITY / VEHICLE PARKING LOT,TRUE,FALSE,1134,11,24,29,18,,,2020,11/17/20 15:49,,,
12217881,JD427587,11/10/20 12:00,081XX S HALSTED ST,820,THEFT,$500 AND UNDER,TAVERN / LIQUOR STORE,FALSE,FALSE,613,6,21,71,6,,,2020,11/17/20 15:49,,,
12217488,JD427072,11/10/20 8:30,052XX S MOODY AVE,4387,OTHER OFFENSE,VIOLATE ORDER OF PROTECTION,RESIDENCE,FALSE,FALSE,811,8,14,56,26,,,2020,11/17/20 15:49,,,
12217865,JD427471,11/10/20 16:03,012XX W 111TH ST,1310,CRIMINAL DAMAGE,TO PROPERTY,GAS STATION,FALSE,FALSE,2234,22,34,75,14,,,2020,11/17/20 15:49,,,
12218140,JD427810,11/10/20 22:30,082XX S PRAIRIE AVE,560,ASSAULT,SIMPLE,APARTMENT,FALSE,TRUE,631,6,6,44,08A,,,2020,11/17/20 15:49,,,
12217562,JD427178,11/10/20 12:50,028XX S HOMAN AVE,820,THEFT,$500 AND UNDER,APARTMENT,FALSE,TRUE,1032,10,22,30,6,,,2020,11/17/20 15:49,,,
12217356,JD426934,11/10/20 9:48,034XX N OZANAM AVE,1154,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT $300 AND UNDER,RESIDENCE,FALSE,FALSE,1631,16,38,17,11,,,2020,11/17/20 15:49,,,
12217583,JD426867,11/10/20 7:30,027XX W 64TH ST,320,ROBBERY,STRONG ARM - NO WEAPON,SIDEWALK,FALSE,FALSE,825,8,17,66,3,,,2020,11/17/20 15:49,,,
12222887,JD432807,9/11/20 11:30,081XX S South Shore Dr,810,THEFT,OVER $500,RESIDENCE,FALSE,FALSE,422,4,7,46,6,,,2020,11/17/20 15:49,,,
12220258,JD430214,11/10/20 13:00,052XX S NORDICA AVE,1154,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT $300 AND UNDER,RESIDENCE,FALSE,FALSE,811,8,23,56,11,,,2020,11/17/20 15:49,,,
12218250,JD427938,11/10/20 14:00,063XX N WASHTENAW AVE,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,FALSE,FALSE,2413,24,50,2,14,,,2020,11/17/20 15:49,,,
12217207,JD426756,11/10/20 4:35,099XX S THROOP ST,326,ROBBERY,AGGRAVATED VEHICULAR HIJACKING,PARKING LOT / GARAGE (NON RESIDENTIAL),FALSE,FALSE,2213,22,34,73,3,,,2020,11/17/20 15:49,,,
12222641,JD433084,10/8/20 9:00,034XX N ORANGE AVE,1154,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT $300 AND UNDER,RESIDENCE,FALSE,FALSE,1631,16,38,17,11,,,2020,11/17/20 15:49,,,
12217567,JD426820,11/10/20 1:43,047XX N KILBOURN AVE,051A,ASSAULT,AGGRAVATED - HANDGUN,STREET,FALSE,FALSE,1722,17,39,16,04A,,,2020,11/17/20 15:49,,,
12217140,JD426715,11/10/20 1:37,052XX S RACINE AVE,051A,ASSAULT,AGGRAVATED - HANDGUN,STREET,FALSE,TRUE,934,9,20,61,04A,,,2020,11/17/20 15:49,,,
12217685,JD427330,11/10/20 14:22,073XX S DORCHESTER AVE,486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,FALSE,TRUE,324,3,8,43,08B,,,2020,11/17/20 15:49,,,
12219110,JD428057,11/10/20 17:17,035XX W ADAMS ST,820,THEFT,$500 AND UNDER,RESIDENCE - YARD (FRONT / BACK),FALSE,FALSE,1123,11,28,27,6,,,2020,11/17/20 15:49,,,
12220543,JD430477,11/10/20 14:03,121XX S STATE ST,910,MOTOR VEHICLE THEFT,AUTOMOBILE,RESIDENCE,FALSE,FALSE,532,5,9,53,7,,,2020,11/17/20 15:49,,,
